GEO.sample	group.ID
GSM2695898	5
GSM2695899	5
GSM2695900	6
GSM2695901	6
GSM2695902	6
GSM2695903	7
GSM2695904	7
GSM2695905	7
GSM2695906	8
GSM2695907	8
GSM2695908	8
GSM2695909	9
GSM2695910	9
GSM2695911	9
GSM469817	0
GSM469818	1
GSM469819	0
GSM469820	1
GSM469821	2
GSM469822	3
GSM469823	2
GSM469824	3
GSM231193	0
GSM231194	0
GSM231195	0
GSM231196	1
GSM231197	1
GSM231198	1
GSM231199	2
GSM231200	2
GSM231201	2
GSM231202	3
GSM231203	3
GSM231204	3
GSM1978978	0
GSM1978979	0
GSM1978980	0
GSM1978981	1
GSM1978982	1
GSM1978983	1
GSM1978984	2
GSM1978985	2
GSM1978986	2
GSM1978987	3
GSM1978988	3
GSM1978989	3
GSM1978990	4
GSM1978991	4
GSM1978992	4
GSM1978993	5
GSM1978994	5
GSM1978995	5
GSM1978996	6
GSM1978997	6
GSM1978998	6
GSM1978999	7
GSM1979000	7
GSM1979001	7
GSM1979002	8
GSM1979003	8
GSM1979004	8
GSM1979005	9
GSM1979006	9
GSM1979007	9
GSM1979008	10
GSM1979009	10
GSM1979010	10
GSM1979011	11
GSM1979012	11
GSM1979013	11
GSM1979014	12
GSM1979015	12
GSM1979016	13
GSM1979017	13
GSM1979018	13
GSM1979019	14
GSM1979020	14
GSM1979021	15
GSM1979022	15
GSM1979023	15
